wyear,month,use_snowmaking_mm,use_diverted_mm,use_golf_mm
2014,12,31.3,35.4,NA
2014,1,34.1,24.1,NA
2014,2,2.8,0.9,NA
2014,3,0.0,1.3,NA
2014,4,NA,0.0,0.0
2014,5,NA,0.0,0.2
2014,6,NA,0.0,0.5
2014,7,NA,0.6,0.4
2014,8,NA,0.0,0.2
2014,9,NA,1.3,0.2
2015,10,NA,0.0,0.0
2015,11,30.7,24.1,NA
2015,12,31.9,26.0,NA
2015,1,24.4,8.5,NA
2015,2,0.0,0.0,NA
2015,3,0.0,0.2,NA
2015,4,NA,NA,0.0
2015,5,NA,NA,0.7
2015,6,NA,NA,0.1
2015,7,NA,NA,0.5
2015,8,NA,NA,0.8
2015,9,NA,NA,0.6
2016,10,NA,NA,0.0
2016,11,18.8,20.0,NA
2016,12,19.4,24.7,NA
2016,1,43.8,21.0,NA
2016,2,14.1,26.6,NA
2016,3,0.0,0.0,NA
2016,4,NA,0.0,0.1
2016,5,NA,0.0,0.4
2016,6,NA,NA,0.5
2016,7,NA,NA,0.4
2016,8,NA,NA,0.5
2016,9,NA,NA,0.4
2017,10,NA,NA,0.0
2017,11,16.0,14.5,NA
2017,12,31.6,31.6,NA
2017,1,21.6,3.8,NA
2017,2,11.0,5.1,NA
2017,3,4.4,14.7,NA
2017,4,NA,NA,NA
2017,5,NA,NA,NA
2017,6,NA,NA,NA
2017,7,NA,NA,NA
2017,8,NA,NA,NA
2017,9,NA,NA,NA
2018,10,NA,NA,NA
2018,11,24.9,20.1,NA
2018,12,27.2,9.2,NA
2018,1,18.1,14.8,NA
2018,2,4.0,19.2,NA
2018,3,1.7,6.0,NA
2018,4,NA,NA,0.0
2018,5,NA,NA,0.3
2018,6,NA,NA,1.1
2018,7,NA,NA,0.5
2018,8,NA,NA,0.7
2018,9,NA,NA,0.1
2019,10,NA,NA,NA
2019,11,15.6,18.0,NA
2019,12,23.8,35.8,NA
2019,1,15.3,5.8,NA
2019,2,6.5,0.3,NA
2019,3,NA,NA,NA
2019,4,NA,NA,NA
2019,5,NA,NA,NA
2019,6,NA,NA,NA
2019,7,NA,NA,NA
2019,8,NA,NA,NA
2019,9,NA,NA,NA
