Date,Jday,RB WY01,RB WY02,RB WY03,RB WY04,RB WY05,RB WY06,RB WY07,RB WY08,RB WY09,RB WY10,RB WY11,RB WY12,RB WY13,RB WY14,RB WY15,RB WY16,RB WY17,RB WY18,RB WY19,WB WY01,WB WY02,WB WY03,WB WY04,WB WY05,WB WY06,WB WY07,WB WY08,WB WY09,WB WY10,WB WY11,WB WY12,WB WY13,WB WY14,WB WY15,WB WY16,WB WY17,WB WY18,WB WY19,RB average 01-16,WB average 01-15,RB avg mm,WB avg mm,RB cum mm,WB cum mm
23-Jun,266,4.6,25,4.4,6.5,3.5,6.7,9.6,23,5.8,9.6,13,1.6,37,8,37,4.2,57.2,2.87,6.53,9.5,41,8.7,14,8.9,11,16,27,8.7,16.7,26,3.5,15,9.7,57,7.83,78.8,8.85,11.4,14.01,19.98,3.57,4.18,1029.2,1221.08
24-Jun,267,5.5,27,3.9,3.9,3,5.7,4.7,20,5,27.6,54,1.5,23,7.4,22,3.51,63.6,3.03,5.47,9.5,44,7.7,8.6,7.7,9.9,8.7,19,6.6,46.9,100,3.4,19,8.7,32,6.58,159,8.75,9.67,15.25,27.14,3.89,5.68,1033.09,1226.75
25-Jun,268,3.5,11,3.7,4.3,2.6,4.8,3.4,14,4.5,14.8,58,3.6,71,48,14,3.22,16.7,3.06,8.44,6,20,7.2,10,6.6,8.7,7.6,16,5.6,28.7,93,5.2,47,84,22,6.01,36.8,9.87,14.7,15.4,22.89,3.93,4.79,1037.01,1231.54
26-Jun,269,2.7,14,3.6,3.7,2.3,90,2.3,8.2,3.8,9.4,62,19,53,26,10,2.99,10.3,2.53,7.03,4.7,23,6.8,8.9,6,114,6,12,5.7,19.6,114,40,44,42,17,5.57,22.4,7.57,12.2,17.52,26.92,4.47,5.63,1041.48,1237.17
27-Jun,270,2.3,37,3.3,3.3,2.2,60,1.7,6.8,4,9.7,27,93,34,14,7.8,2.89,8.9,2.66,5.59,4.3,50,6.8,8,5.1,60,5.3,11,6.2,20.1,45,188,40,20,14,4.67,19,7.8,9.4,17.17,27.61,4.38,5.78,1045.85,1242.94
28-Jun,271,2.1,31,3,3,2,28,1.6,6.7,3.7,31.1,14,24,161,11,27,3.51,9.89,29.6,4.74,3.9,38,6.3,7.2,4.1,35,5.2,11,6.4,55.5,23,33,180,14,33,5.69,17.9,60,8.34,20.89,28.82,5.32,6.03,1051.18,1248.97
29-Jun,272,2.3,13,3.1,3,2.1,19,1.5,8.2,21,17.5,11,9.5,87,8.5,41,4.5,60.2,8.75,10,4.1,19,6.3,7,4.4,24,4.8,12,25,28.2,19,15,91,11,46,6.48,95.7,21.2,20.8,17.43,24.26,4.44,5.07,1055.62,1254.04
30-Jun,273,8.6,9.1,4.4,3.4,2.1,25,1.4,5.7,12,15.5,33,5.6,68,7.2,19,3.38,114,4.39,31.5,9,15,6.6,6.9,4.3,33,4.6,9.9,13,24.6,66,10,72,9.7,22,5.16,113,12.2,33.1,19.65,24.74,5.01,5.17,1060.63,1259.22
1-Jul,274,6,7.4,3.1,3.6,2,16,1.7,4.6,9.1,19.2,21,3.9,44,6.8,72,3.53,32.9,3.3,15.2,7.7,13,4.8,9.6,4.1,24,4.8,8.9,7.9,21.4,44,7.7,43,8.4,67,5.51,40.8,10.1,19.6,14.49,18.54,3.69,3.88,1064.32,1263.1
2-Jul,275,4.1,6.4,2.6,4.5,2.2,25,1.8,4,9.8,13.2,12,3.2,39,6.9,48,3.62,21.5,2.77,7.38,5.8,11,4.5,13,4.2,43,4.8,7.8,10,16.5,22,7.2,44,7.6,43,5.61,30.1,9.11,12.1,11.47,15.86,2.92,3.32,1067.25,1266.41
3-Jul,276,3.1,5.5,2.2,3.2,1.8,13,2.4,4.7,17,8.6,10,3,26,7.3,17,2.93,12.4,2.43,5.44,4.7,9.8,4.2,8.1,3.7,22,5.1,11,25,12.5,18,6.6,31,8,20,5.03,22.2,7.42,9.52,7.79,12.31,1.99,2.57,1069.23,1268.99
4-Jul,277,2.6,5,2.1,2.7,1.6,28,1.8,4.4,73,6.5,17,4.7,113,8.5,12,2.59,8.94,2.19,4.38,4.3,11,4,6.7,3.9,36,4.6,9.6,132,10.5,16,8.9,77,9.5,17,4.55,18.2,6.04,8.31,15.84,20.43,4.04,4.27,1073.27,1273.26
5-Jul,278,2.5,7,2,18,2.8,28,5.6,3.4,23,5.4,8.6,3.5,95,6.6,10,2.41,7.14,2.04,3.79,4.1,14,3.9,24,7.7,36,10,7.5,35,9.1,12,5.1,56,7.6,15,4.12,15.5,5.5,6.62,12.46,14.67,3.18,3.07,1076.45,1276.33
6-Jul,279,2.2,17,1.9,13,3.9,13,7.1,3,13,4.9,13,2.1,46,5.6,8.2,2.29,6.02,4.18,6.05,3.8,28,3.8,31,7.8,19,8.8,6.6,20,7.9,18,4.2,30,6.4,12,3.83,13.7,13.6,17.3,9.08,13.46,2.31,2.81,1078.76,1279.14
7-Jul,280,2.1,8.8,1.9,5.1,2.5,9.9,6.9,2.7,15,4.1,40,2.2,21,5.9,7.8,2.82,6.84,2.54,4.6,3.7,13,3.7,13,5.4,15,6.7,6.1,21,6.9,38,4.2,20,6.5,12,6.03,13,7.92,10.9,8.04,11.21,2.05,2.35,1080.81,1281.49
8-Jul,281,2.2,8.4,2.2,25,2.1,8,27,2.5,17,3.6,13,2.5,16,5.8,11,2.85,18.5,2.16,3.38,4.1,15,4,44,4.6,13,31,5.8,21,6.7,15,4.7,17,9.2,17,4.9,20,6.49,7.63,9.12,13.22,2.32,2.76,1083.13,1284.25
9-Jul,282,2.1,51,1.8,24,39,6.7,32,3.2,14,3.5,8.9,1.9,16,15,8.1,9.09,21.1,1.95,2.87,3.7,89,3.5,43,65,11,34,7,18,6.7,12,4.4,17,23,12,14.2,19,5.75,6.65,13.8,20.78,3.52,4.35,1086.65,1288.6
10-Jul,283,2.5,12,1.7,11,24,5.8,35,2.9,9.3,9.5,6.9,1.5,14,8.6,6.4,38.9,8.79,1.86,2.61,4.8,21,3.3,24,43,9.8,33,6.2,13,11.9,10,4.2,14,10,10,75.2,13.6,5.55,5.99,10.7,16.77,2.73,3.51,1089.38,1292.1
11-Jul,284,3.1,7.7,3.8,6.3,5.1,5.2,28,2.5,14,5.5,5.6,1.5,13,4.6,5.2,14.9,6.75,2.26,2.62,9.4,15,6.7,17,12,8.9,33,5.2,21,7.2,9.1,4.2,15,7.1,8.9,28.4,11.7,6.22,6.04,7.24,12.21,1.85,2.55,1091.22,1294.66
12-Jul,285,3.5,6.2,3.7,15,3,20,30,2.4,30,4.3,9.7,1.3,9.4,3.6,4.4,5.14,5.82,1.84,5.09,9.7,12,6.6,14,8.6,22,38,5,32,5.9,15,4,11,6.1,8.1,9.34,10.6,4.73,8.88,8.65,12.19,2.21,2.55,1093.43,1297.21
13-Jul,286,8.7,5.2,3.3,13,2.7,63,27,20,12,3.7,7.5,1.2,7.5,3.6,4.6,3.54,6.7,1.71,3.94,19,10,6.9,13,6.8,51,32,41,15,5.5,13,3.8,9.6,6,8,7.05,12,4.29,13,10.47,14.58,2.67,3.05,1096.09,1300.26
14-Jul,287,21,4.6,3.2,7.2,2.3,14,23,33,9.6,3.3,6.6,1.1,6.7,3.6,4.2,3.43,8.19,1.82,3.25,54,8.9,6.6,11,5.5,15,29,60,16,4.5,10,3.7,9,6.4,7.7,6.81,14.1,4.78,14.4,8.43,15.13,2.15,3.16,1098.24,1303.42
15-Jul,288,12,4.2,2.2,28,2,9.1,13,7.3,8,2.9,4.8,1.1,5.7,3.8,7.2,3.08,7.99,1.75,2.7,32,8.1,4.2,40,6.2,12,21,14,14,4.5,8,3.6,8,6.1,11,5.46,13.1,4.67,7.55,6.67,11.76,1.7,2.46,1099.94,1305.88
16-Jul,289,5.8,4.1,2.5,27,1.7,7.1,9.2,4.2,9.2,3.8,4,2.3,4.8,3.6,4.3,2.82,5.98,1.57,2.49,13,7.5,4.3,34,5,10,15,9.9,13,4.2,7.2,4.7,6.9,4.4,7.7,4.63,10.4,4.33,6.17,5.6,9.07,1.43,1.9,1101.37,1307.78
17-Jul,290,4.8,4.1,2.1,50,1.8,5.8,6.4,3.2,9.3,3,3.5,4,5,2.9,3.7,2.69,9,1.57,27.3,11,7.2,3.9,57,4.9,8.7,10,8.7,8.5,4.8,6.6,8.1,6.8,4.1,6.8,4.29,15.1,4.23,58.6,7.9,12.6,2.01,2.63,1103.39,1310.41
18-Jul,291,3.7,5.7,1.8,22,1.8,5.5,8.9,13,17,2.4,3.8,6.3,5.8,2.5,11,8.74,6.59,1.49,10.9,7.8,7.9,3.4,48,4.9,8.4,12,18,17,4.4,7.7,7.4,7.8,4.1,12,13.3,11.5,3.96,24.6,7.31,11.8,1.86,2.47,1105.25,1312.88
19-Jul,292,3,4.2,1.6,28,2,4.9,12,36,12,6,3.3,2,6.6,2.3,12,8.12,5.02,1.44,4.72,6.3,6.6,3.2,51,4.7,7.6,15,66,12,5.3,6.9,4.2,8.7,4.1,12,13.6,9,3.67,12.9,8.17,13.3,2.08,2.78,1107.33,1315.66
20-Jul,293,2.5,3.7,1.6,32,1.7,4.3,29,85,7.8,4.3,2.8,1.5,8.5,2.2,8,3.83,4.4,1.41,3.59,5.4,5.9,3.1,71,4.3,6.3,40,95,10,4.9,5.9,3.7,11,4.3,12,5.89,7.98,3.41,10.2,10.95,16.33,2.79,3.42,1110.12,1319.07
21-Jul,294,2.2,3.2,1.9,14,1.4,4.7,23,64,6.9,41.8,2.3,1.3,5.8,2.1,9.6,2.94,3.91,1.37,3.21,4.8,5.4,3.8,33,3.7,6.3,34,88,9.7,30.6,5.6,3.5,7.9,4.2,15,4.31,7.2,3.33,9.44,10.3,14.73,2.62,3.08,1112.75,1322.15
22-Jul,295,2,2.8,7.7,7.8,1.5,6.7,9.7,24,10,20,1.9,1.1,4.2,1.9,8.2,2.64,3.61,1.52,2.98,4.4,5.1,9.1,21,3.4,8.3,17,41,11,17.4,5.2,3.4,6.6,4,12,4.39,6.67,3.87,8.11,6.33,10.1,1.61,2.11,1114.36,1324.27
23-Jul,296,1.9,4.6,5.3,47,1.5,7.2,6.7,42,8.2,9.6,1.9,2.4,5.9,5.7,5.9,8.08,3.4,2.71,2.73,4.1,7.2,8,81,3.2,13,12,76,9.6,9.6,5,6.2,8.6,15,10,30.8,6.33,6.77,7.29,9.09,16.83,2.32,3.52,1116.68,1327.79
24-Jul,297,1.8,3.4,21,25,1.3,5.1,5.5,102,6.6,7.1,3.5,19,8.7,4.1,5.2,5.97,6.75,2.02,2.38,4.6,5.4,37,46,3,8.8,11,129,8.7,8.4,6.3,35,17,8,8.6,14.6,11.9,5.15,6.32,12.44,19.72,3.17,4.13,1119.85,1331.91
25-Jul,298,1.8,2.8,13,10,1.3,7.7,4.2,61,9.4,5.6,2.5,4.8,5.4,2.4,4.4,3.43,8.95,1.84,2.24,4.3,4.9,26,25,3,8.9,8.8,88,9.3,8,5.3,4.9,9.3,5.1,7.6,7.97,16.6,5.15,5.69,8.04,13.36,2.05,2.79,1121.9,1334.7
26-Jul,299,1.7,2.6,4.5,7.6,1.3,7.5,3.3,20,8.3,4.3,2.8,3.2,4,1.9,4.1,3.02,5.18,2.84,2.13,3.9,4.6,6.5,19,3,8.2,7.6,36,9,6.7,8,4.6,7,4.4,7.2,6.73,9.8,10.9,5.38,4.75,8.87,1.21,1.85,1123.11,1336.56
27-Jul,300,1.6,3.6,6.2,6.6,7.4,4.9,2.8,24,6.2,3.3,2.5,2.9,3.5,3.8,3.7,2.67,5.46,2.15,2.03,3.6,5.5,16,17,25,6.6,6.7,31,7.7,5.6,7.1,6.2,6.1,6,6.3,5.73,10.7,6.93,4.93,5.02,9.72,1.28,2.03,1124.39,1338.59
28-Jul,301,1.6,3,9.9,6.2,4.1,5.6,2.7,12,4.8,2.8,2.2,2.1,3.2,13,4.7,2.56,7.69,1.7,16.6,3.5,4.7,20,16,12,7,6.4,20,6.7,5.1,5.4,4.8,5.8,24,7.6,5.84,13.2,4.83,26.2,5.6,10.48,1.43,2.19,1125.82,1340.78
29-Jul,302,1.5,2.9,4.6,5.4,2,5.8,2.3,9.3,4.2,2.7,2.2,1.7,43,12,3.3,2.44,4.3,1.55,6.66,3.4,4.6,8.2,14,5.6,6.3,5.8,16,6.5,5.1,5.3,12,54,34,6,5.34,8.12,4.22,11.6,6.2,11.37,1.58,2.38,1127.4,1343.16
30-Jul,303,1.5,10,4.3,4.6,1.9,4.3,2,7.3,8.1,2.4,3.8,1.8,8.4,4.7,3.2,2.2,3.47,1.43,4.15,3.3,9.4,8.1,12,4.4,5.5,5.4,14,11,4.6,9.1,6.7,12,9.7,5.8,4.61,6.61,3.88,7.25,4.19,7.54,1.07,1.58,1128.46,1344.74
31-Jul,304,1.5,4.2,3,6.3,1.5,3.6,1.7,13,13,2.3,2.2,1.3,5.4,3.3,3,2.14,3.23,1.45,4.86,3.2,4.9,5.5,17,3.7,5.2,5,21,16,4.5,5.7,4.3,8.4,7.6,5.5,4.29,6.29,3.84,7.34,4.05,7.33,1.03,1.53,1129.5,1346.27
1-Aug,305,1.4,2.9,3.1,6.2,1.5,5.5,1.6,21,9.9,2,1.8,1.2,7.7,2.8,2.8,14.5,3.11,1.46,3.04,3.1,4.2,5.4,16,3.6,10,4.8,25,12,4.4,4.8,3.9,13,6.5,5.3,26.5,5.48,3.82,5.42,4.92,8.59,1.25,1.8,1130.75,1348.07
2-Aug,306,1.3,2.5,3.5,4.5,1.4,16,1.5,25,14,10.1,1.8,1.2,9.5,2.2,2.7,6.85,2.81,1.45,2.44,3.1,4,5.4,12,3.5,39,4.5,37,16,8.8,5.1,3.7,13,5.5,5.3,11.6,4.65,3.8,4.4,5.83,10.02,1.49,2.1,1132.24,1350.16
3-Aug,307,1.9,2.3,3.2,27,1.3,11,1.4,34,13,23,1.7,1,18,2,2.6,3.55,2.68,1.45,2.22,3.3,3.8,5,43,3.7,25,4.2,46,14,19.9,4.2,3.4,24,5.1,5.2,6.78,4.48,3.73,4.12,8.07,12.05,2.06,2.52,1134.29,1352.68
4-Aug,308,1.4,2,3.2,15,1.2,7.4,1.3,22,6.6,77,1.6,0.93,10,2.1,2.6,2.7,2.66,1.73,2.1,3,3.6,5,29,3.3,14,4,31,8.8,204,3.7,3.2,15,6.1,4.7,5.43,4.45,4.35,4.35,8.61,18.79,2.19,3.93,1136.49,1356.61
5-Aug,309,1.3,1.9,16,6.8,1.8,4.7,1.2,13,7.5,14.6,1.5,2.2,7.5,2.2,2.5,2.35,8.01,1.52,1.98,2.9,3.5,14,16,4.1,9.3,3.9,21,12,23.5,3.7,11,12,15,4.4,4.79,13.4,3.79,3.91,5.19,9.59,1.32,2.01,1137.81,1358.62
6-Aug,310,1.2,5,15,5.4,1.3,3.7,10,59,5.3,8.1,1.5,4.1,5.3,3.5,2.5,2.28,5.37,1.32,1.94,2.8,7.8,19,14,3.1,7.5,18,53,8.6,15.4,4,10,8.9,12,4.3,5.41,8.87,3.39,3.65,7.46,11.04,1.9,2.31,1139.71,1360.93
7-Aug,311,1.2,5.6,7.2,5.1,1.2,3.6,4.2,40,4.5,5.7,1.8,1.5,4.4,3.2,2.4,2.14,4.03,1.61,2.22,2.8,6.7,11,13,2.8,7.6,8.2,43,6.8,11.2,4.3,4.4,7.5,13,4,4.6,7.29,4.78,5.9,5.35,8.89,1.36,1.86,1141.07,1362.78
8-Aug,312,1.3,3.1,5.1,4.9,1.1,3.8,4.1,28,3.8,4.5,1.6,1.1,4.1,2.6,2.3,2.07,5.93,1.61,24.9,2.8,4.6,22,12,2.8,7.4,10,50,6,8.9,4.3,3.5,7.7,8.8,3.8,4.18,11.4,4.19,58.4,5.57,12.25,1.42,2.56,1142.5,1365.35
9-Aug,313,1.2,2.2,5.6,4.5,1,2.9,3.3,59,3.6,9.3,2.2,1.1,6.8,1.9,2.3,1.96,3.69,1.88,7.37,2.7,3.8,26,9.5,2.8,5.1,6.8,45,5.7,15.7,5.4,3.4,11,6.3,3.7,3.85,6.63,5.01,21.2,6.41,9.98,1.63,2.09,1144.13,1367.43
10-Aug,314,1.8,1.9,26,3.8,1,3.1,1.9,20,3.6,8.1,8.8,5.3,5,1.6,2.2,1.96,3.05,1.64,4.65,3.8,3.5,46,6.8,2.7,6.2,4.2,26,6.1,11.7,18,7.5,8.3,5.1,3.7,3.31,5.34,5.82,13.7,5.55,9.88,1.41,2.07,1145.54,1369.5
11-Aug,315,1.3,1.7,27,5,0.99,3.1,1.6,14,5.5,4.9,2.6,6.4,3.6,1.5,7.7,1.9,2.92,1.38,3.38,2.9,3.2,25,8.8,2.7,6.1,4.2,20,6.2,8.5,5.4,12,9.9,4.4,14,3.13,5.13,3.78,10.4,5.08,8.2,1.29,1.71,1146.84,1371.21
12-Aug,316,1.2,1.6,11,22,1,2.9,1.4,11,4.5,3.9,2.8,7.3,3,1.4,9.9,3.14,4.61,1.36,2.65,2.7,3.1,30,33,2.6,5.4,3.9,16,6.3,6.8,5.3,14,9.9,3.9,14,4.53,9.16,3.55,7.05,5.09,9.54,1.3,1.99,1148.13,1373.21
13-Aug,317,1.2,1.6,7.8,62,1,2.5,5.8,8.3,3.9,3.6,2.4,2.5,2.9,8,7.1,3.66,5.36,1.36,2.43,2.9,3,23,76,2.6,4.7,6,14,5.8,5.9,4.5,5.8,5.2,15,9.3,6.05,12.2,3.44,6.43,7.02,11.15,1.79,2.33,1149.92,1375.54
14-Aug,318,1.1,1.6,5.4,34,1.4,2.3,2.2,6.7,3.1,3.2,2.2,1.7,3.9,13,4.3,4.16,3.53,1.39,2.21,2.6,3,14,41,3.4,4.3,3.8,12,5,5.5,4.1,4.4,6.1,26,7.2,7.46,7.63,3.57,5.56,5.13,8.77,1.31,1.83,1151.23,1377.37
15-Aug,319,1,1.8,4.2,12,1.4,2.3,1.8,5.7,2.7,3,13,1.5,3.2,4.8,3.9,2.74,3.89,20.5,2.09,2.6,2.9,9.9,20,3.3,4.3,4,11,4.5,5.3,24,4,5.4,9.6,6.3,5.02,6.99,19.5,4.84,4.82,8.08,1.23,1.69,1152.46,1379.06
16-Aug,320,1,1.8,3.9,12,1.1,2.2,9.6,4.9,2.5,3,21,1.3,2.6,3.8,3.2,11.5,4.01,21.6,2.09,2.5,2.9,9.9,22,2.9,4,11,10,4.3,5.4,43,3.4,4.6,9.4,5.6,22.7,6.8,24.1,4.69,5.95,10.48,1.52,2.19,1153.98,1381.26
17-Aug,321,1.9,1.4,3.5,9.5,1,2.1,13,4.3,2.3,2.5,5.5,1.2,2.5,9.1,2.6,57.5,2.88,5.16,2.19,4.1,2.8,8.5,17,2.6,3.8,16,9.3,4.4,5.2,12,3.3,4.5,18,4.8,109,5.56,10.1,4.78,6.85,12.93,1.75,2.7,1155.72,1383.96
18-Aug,322,1.4,1.3,3.1,6.8,0.94,2,13,4.1,2,2.3,3.3,1.1,2.2,9.5,2.3,9.38,5.92,11.7,2.2,3.3,2.7,7.1,12,2.3,3.6,23,9.7,4.4,4.9,7.5,3.1,4.1,22,4.2,18.9,11.6,39.1,4.98,4.45,9.92,1.13,2.07,1156.85,1386.04
19-Aug,323,1.2,1.3,2.6,6.8,0.96,2,6.3,13,2.3,2.2,2.4,0.92,2,5.1,2.3,4.82,12.3,4.68,2.04,2.8,2.7,6.2,15,2.3,3.5,11,31,4.8,4.3,6,2.8,3.9,12,4.1,12,22.9,10.4,4.55,3.96,8.54,1.01,1.79,1157.86,1387.82
20-Aug,324,1.2,1.5,2.2,6.9,1.1,72,3.5,6.1,2.2,2.1,2,0.86,1.8,3,2.3,3.45,5.84,2.93,1.91,2.8,2.8,5.5,15,2.5,59,6.2,13,4.3,3.8,5.3,2.3,3.7,8.2,4.1,9.32,12.3,6.15,3.91,6.47,8.96,1.65,1.87,1159.51,1389.69
21-Aug,325,5.2,1.3,2,17,2.5,29,2.3,4.4,2.3,2.1,3.7,0.81,1.7,2.6,4,4.62,3.91,2.42,3.09,16,2.6,5.1,28,5.2,27,5,9.6,4.5,3.9,7.8,2,3.4,7.4,7.1,11.2,8.33,4.47,6.24,5,8.68,1.27,1.81,1160.79,1391.51
22-Aug,326,2.1,2,1.8,9.5,1.3,12,1.7,3.8,2.3,5.2,4.4,0.73,2.7,3,2.7,5.86,5.19,3.19,2.76,6,3.2,4.8,17,3.4,14,4,8.5,4.5,6.7,8,1.9,7,8.1,5,12.5,10.4,5.25,5.23,3.8,7.13,0.97,1.49,1161.76,1393
23-Aug,327,1.4,2.2,1.7,8.1,1.2,7,1.8,3.4,16,8.1,3.2,0.81,2.7,3.7,2.3,3.7,8.13,3.5,2.14,3.2,3.2,4.5,16,3,8.6,4.7,8.2,18,9.1,6.9,1.9,5.8,8.8,5.6,8.14,20.1,4.89,4.08,4.27,7.62,1.09,1.59,1162.84,1394.59
24-Aug,328,1.2,1.5,1.6,8,1.2,5.1,2.3,3.1,28,3.5,2.2,0.82,1.8,2.4,2.1,2.96,4.17,2.41,2.03,2.8,2.7,4.3,16,2.8,6.8,5.9,7.6,33,5.3,5.4,2.2,3.7,6.7,6.4,6.36,10.4,3.83,3.8,4.02,7.16,1.02,1.5,1163.87,1396.09
25-Aug,329,1.1,1.4,1.8,5.8,1.1,4.1,2.5,3.6,9.5,2.8,2.1,0.78,1.7,1.8,2,2.68,3.37,2.17,1.98,2.6,2.6,4.5,10,2.5,5.8,8.7,8.5,10,4.5,5.3,2.1,3.5,5.7,3.7,5.88,8.15,3.43,3.63,2.75,5.32,0.7,1.11,1164.57,1397.2
26-Aug,330,1,1.3,1.9,4.9,0.93,3.6,2.9,3,7.7,2.9,1.9,0.74,2.1,1.5,1.9,2.59,2.9,2.1,1.85,2.5,2.5,4.5,8.3,2.4,5.2,8.9,6.7,10,4.5,5.6,2.1,3.8,5.1,3.5,5.45,6.89,3.31,3.47,2.51,4.99,0.64,1.04,1165.21,1398.25
27-Aug,331,4.9,1.2,1.6,4.4,0.89,6.6,1.9,2.8,5.8,2.6,1.7,0.7,2,1.3,2.2,2.34,2.62,2.09,1.81,14,2.5,4.1,7.3,2.3,9,5.8,6,8,4.4,9.1,1.9,3.7,5.6,3.2,4.9,6.18,3.27,3.35,2.6,5.51,0.66,1.15,1165.87,1399.4
28-Aug,332,7.3,1.2,1.5,4.1,1.5,8.4,1.5,2.6,4,2.2,122,1.1,2.8,1.3,2,2.26,2.42,3.33,2.13,25,2.5,3.8,6.6,3.4,13,4.5,6.5,6.2,4.3,292,2.6,3.8,4.5,3.1,5.06,5.67,5.42,3.85,9.14,21.15,2.33,4.42,1168.2,1403.82
29-Aug,333,6.4,1.3,2.5,53,1.2,6.1,1.2,2.5,11,2,69,0.75,2.2,1.3,1.9,2.19,2.28,2.27,2.87,20,2.6,5.4,91,2.8,9.2,3.9,5.9,15,4,139,2.1,3.7,4.3,2.8,5.62,5.32,4.01,4.86,9.05,17.45,2.31,3.65,1170.51,1407.47
30-Aug,334,2.1,1.5,2.9,42,1.4,4.8,1.4,2.6,12,1.8,17,0.66,1.8,1.2,1.8,2.14,2.19,6.17,1.98,6.4,2.6,5.2,68,3,7.3,4.3,6.1,20,6.9,26,1.6,3.4,4.1,2.6,5.25,5.05,20.1,4.14,5.65,10.63,1.44,2.22,1171.95,1409.69
31-Aug,335,30,1.2,1.8,63,65,3.8,1.5,2.4,7.2,1.8,10,0.68,2.6,1.8,1.8,3.17,2.16,3.32,1.86,57,2.5,4.1,84,93,6.1,4.2,5.6,16,6.7,14,1.6,3.9,5.2,2.5,7.51,5.06,7.23,3.86,10.79,17.37,2.75,3.63,1174.7,1413.32
1-Sep,336,49,1.2,1.6,18,18,3.3,1.2,2.1,4.8,1.7,7.9,0.68,2.2,1.4,1.7,2.48,2.08,2.54,1.81,103,2.4,3.8,35,21,5.2,3.7,5.3,9.7,3.3,9.8,1.7,3.6,4.3,2.4,7.21,4.77,4.99,3.67,6.51,12.36,1.66,2.58,1176.36,1415.91
2-Sep,337,7.5,1.1,1.6,11,4.3,3,1.1,2,3.6,1.5,6.5,0.64,2,17,1.6,2.2,2.02,2.33,24.4,21,2.4,3.7,22,5,4.9,3.4,4.8,7.5,3,7.9,1.5,3.6,26,2.4,5.12,4.53,4.64,59.7,5.02,10.16,1.28,2.13,1177.64,1418.03
3-Sep,338,3.7,1.1,1.6,8,2.5,4.6,0.93,2,3,1.5,5.7,0.6,3.3,20,1.7,2.12,19.4,2.21,8.82,12,2.3,3.8,15,5.1,7.3,3.2,4.4,6.5,2.9,7.5,1.7,4.1,29,2.7,4.46,27.5,4.73,23.1,4.88,8.8,1.24,1.84,1178.88,1419.88
4-Sep,339,2.7,1.1,2.6,6.8,1.9,11,0.87,2,2.7,1.5,5.6,1.7,3.4,4.2,1.6,2.05,31.9,2.14,6.49,9.3,2.4,4.8,12,4.2,19,3.4,4.4,5.8,3.2,8.2,2.1,4.3,8.1,2.3,4.19,45.6,3.92,18.9,4.86,8.74,1.24,1.83,1180.12,1421.7
5-Sep,340,2.4,1,1.8,6.2,1.6,30,0.88,2,2.4,1.5,13,41,3.3,2.4,1.4,1.98,53.6,1.97,5,7.3,2.3,3.7,11,3.3,43,3.2,4.4,5.3,3.2,22,58,4.1,6,2.2,4.12,71.2,3.26,14.8,9.13,14.34,2.33,3,1182.45,1424.7
6-Sep,341,1.9,0.94,1.6,5.9,1.4,11,1.7,1.9,2.2,1.5,30,2.8,2,3.3,1.4,1.92,23.8,2.22,3.27,5.3,2.3,3.2,9.7,3.3,15,2.9,4.6,5,2.9,56,6.7,3.7,9.6,2.2,4.33,34.3,4.31,9.02,5.3,9.7,1.35,2.03,1183.8,1426.73
7-Sep,342,1.6,0.91,1.5,5.6,1.3,7.3,1.1,2.4,2.2,1.7,22,1.6,1.5,3.7,1.3,1.9,27.2,2,3.13,4.3,2.2,3,8.9,3.4,11,2.8,5.7,4.8,3,32,3.7,3.1,9.3,2.4,3.91,32.1,3.71,8.42,4.73,7.78,1.21,1.63,1185.01,1428.36
8-Sep,343,1.4,0.87,1.4,7,1.5,5.3,1,2.1,2.2,3.2,23,2.1,3.2,2.1,3.2,2.14,15.7,1.87,5.31,3.7,2.2,3,14,3.7,8.7,3.1,4.9,4.6,5,33,7.9,5.5,5.6,3.9,4.12,23.7,3.1,11.3,4.45,7.95,1.13,1.66,1186.14,1430.02
9-Sep,344,1.3,0.81,1.3,60,1.6,4.6,2.3,7.3,2,37,14,2.6,2,1.7,2.5,2.18,33.7,1.84,3.56,3.4,2.1,2.9,81,3.6,9.1,4.3,19,4.4,59.1,18,15,4.4,4.1,3.3,4.01,33.3,2.91,7.88,9.59,14.83,2.45,3.1,1188.59,1433.12
10-Sep,345,1.4,0.79,1.3,82,1.3,4.2,2.8,3.9,1.9,14.5,9.6,1.7,3.2,1.5,1.6,1.95,11.1,2,2.87,3.4,2.1,2.9,112,3.1,9.3,3.9,9.2,4.2,26.1,12,7.2,4,4.1,2.4,3.65,19,3.14,6.69,7.87,12.55,2.01,2.62,1190.59,1435.75
11-Sep,346,1.4,34,1.2,24,1.2,3.6,6.2,2.6,1.8,4.9,7.8,1.5,3.3,2.5,1.5,9.38,6.4,20.1,3.11,3.4,41,2.8,42,3,7.3,11,5.8,4,9.2,9.8,2.9,3.9,4.6,2.2,19.6,14.1,43.2,7.92,7.18,12.51,1.83,2.62,1192.42,1438.36
12-Sep,347,1.2,8.9,1.2,11,1.1,3.3,9.6,2.7,2,3.3,6.7,1.2,6.1,2,1.4,2.99,4.72,4.93,2.81,3.1,12,2.7,24,2.8,6.4,25,5.9,4.1,9.3,8.3,2.3,13,4.4,2.1,6.46,11.4,11.5,6.83,4.06,8.5,1.03,1.78,1193.46,1440.14
