Date,Jday,RB WY01,RB WY02,RB WY03,RB WY04,RB WY05,RB WY06,RB WY07,RB WY08,RB WY09,RB WY10,RB WY11,RB WY12,RB WY13,RB WY14,RB WY15,RB WY16,RB WY17,RB WY18,RB WY19,WB WY01,WB WY02,WB WY03,WB WY04,WB WY05,WB WY06,WB WY07,WB WY08,WB WY09,WB WY10,WB WY11,WB WY12,WB WY13,WB WY14,WB WY15,WB WY16,WB WY17,WB WY18,WB WY19,RB average 01-16,WB average 01-15,RB avg mm,WB avg mm,RB cum mm,WB cum mm
12-Apr,194,16,43,12,9.3,17,31,6.6,95,12,17,99,17,16,44,10,93.3,122,8.78,10.9,23,61,19,16,28,41,9.3,103,19,23.7,123,24,17,52,13,109,121,13.7,16.5,35.78,43.8,9.12,9.16,550.09,585.28
13-Apr,195,31,146,15,13,15,64,6.4,48,11,14.3,51,15,14,51,30,24.9,54.5,25.4,83,40,172,23,21,24,74,9.6,57,16,20.8,55,22,15,50,39,34.5,61.2,31.6,94.4,37.5,45.27,9.56,9.47,559.65,594.74
14-Apr,196,19,182,15,68,15,49,6.4,23,10,13,44,16,15,118,88,16.2,34.7,49.4,63.6,30,211,23,83,24,64,9,34,17,19.8,45,25,16,140,102,24.2,48.8,51.6,65.2,44.49,54.35,11.34,11.37,570.99,606.11
15-Apr,197,14,144,69,31,15,78,6.9,19,12,12.8,32,31,15,227,43,13.7,61.2,19.6,131,24,177,81,45,25,88,8,29,21,19.5,36,52,17,284,53,22.3,74,25.3,142,51.33,64.37,13.08,13.46,584.07,619.57
16-Apr,198,14,144,88,24,20,46,18,25,15,20.2,22,47,40,57,33,13.1,212,16.6,50.8,24,185,96,35,32,56,23,36,24,28.8,28,116,54,90,42,22.9,254,22.3,61.8,47.67,64.78,12.15,13.55,596.22,633.12
17-Apr,199,14,126,27,40,34,20,17,56,19,28,51,30,60,22,78,16.2,131,22.2,26.7,24,186,37,49,50,31,25,65,30,34.4,54,87,91,35,94,32.6,150,27,36,43.06,59.89,10.97,12.53,607.19,645.65
18-Apr,200,13,87,16,79,42,21,18,99,29,34.7,34,14,31,14,68,20.3,42.7,13.5,23.2,22,172,24,88,58,37,29,107,38,35,36,36,43,23,82,45.5,62.7,20.5,31.5,36.81,52.12,9.38,10.9,616.58,656.55
19-Apr,201,10,49,16,140,41,31,27,120,22,30.7,24,10,99,14,42,24.3,38.2,11.2,139,19,116,24,155,59,56,37,131,32,36.9,30,25,159,26,57,56,53.4,17.8,141,46.76,64.79,11.92,13.55,628.49,670.1
20-Apr,202,11,27,47,93,88,29,39,102,20,42.4,42,11,98,13,28,15.3,69.5,13.8,289,21,73,70,103,104,53,51,121,30,50.7,45,34,172,24,36,30.5,88.1,15.8,365,56.74,78.27,14.46,16.37,642.96,686.46
21-Apr,203,32,16,53,35,51,22,62,112,19,36,44,12,33,25,86,13.9,79.1,9.45,184,47,38,79,49,71,48,73,133,27,48.9,47,40,50,41,86,29.9,100,15.7,230,48.66,65.97,12.4,13.8,655.36,700.26
22-Apr,204,162,13,50,68,21,16,82,116,39,28.1,26,22,24,71,49,21.7,65.8,10.9,122,179,25,76,80,38,34,89,137,56,44.6,32,44,34,97,64,59.6,86.9,17.4,154,53.03,70.92,13.52,14.83,668.87,715.09
23-Apr,205,126,12,40,45,48,18,155,115,51,19.6,23,60,22,64,37,16.4,47.1,15.4,118,155,21,58,61,63,32,148,142,67,32.9,29,98,30,93,50,46.7,73,22.6,143,54.34,71.85,13.85,15.03,682.72,730.12
24-Apr,206,205,11,21,42,91,25,154,92,32,15.7,41,24,37,21,20,11.1,40.3,38.4,128,230,19,33,61,128,37,162,131,46,26.1,45,47,57,42,26,22.8,64.2,48.4,156,55.24,72.71,14.08,15.21,696.8,745.33
25-Apr,207,71,12,18,26,40,32,51,56,88,16,58,15,57,15,15,9.26,36.5,97.3,66.6,97,20,27,38,63,51,66,82,120,27.9,60,23,92,33,19,18.4,61.6,112,80,41.03,57.42,10.46,12.01,707.26,757.33
26-Apr,208,47,12,57,39,22,18,39,46,78,15.5,120,12,29,19,13,8.9,66.8,158,69.4,66,19,65,54,40,32,50,67,117,27.5,169,20,42,37,19,15.7,123,187,76,45.77,64.54,11.67,13.5,718.93,770.83
27-Apr,209,50,9.5,68,37,61,14,43,44,60,15,220,31,25,23,21,9.33,64.9,84.7,150,66,16,87,55,93,28,51,70,98,25.1,447,60,37,37,34,15.1,124,117,146,54.23,84.54,13.82,17.68,732.75,788.51
28-Apr,210,43,9.2,52,28,71,11,57,54,68,12,166,17,31,18,28,8.4,59.6,72.2,44.3,59,15,78,42,96,23,71,77,123,19.3,378,28,51,33,49,13.7,125,102,58.2,44.72,75.85,11.4,15.86,744.15,804.37
29-Apr,211,28,15,58,25,44,10,68,78,33,11.4,68,14,36,22,31,7.68,38.8,78.5,25.2,48,22,92,40,61,23,81,105,57,17.1,136,22,64,45,48,13.4,89,117,38.6,36.4,58.9,9.28,12.32,753.42,816.69
30-Apr,212,34,16,27,54,33,11,75,33,20,17.2,47,13,39,23,29,7.38,20.9,45.4,19.4,56,22,51,82,49,26,86,47,39,23.5,96,19,77,42,46,14.1,47.1,76.5,31.7,29.7,48.99,7.57,10.25,760.99,826.94
1-May,213,93,22,30,53,37,13,45,20,52,27.8,36,23,40,55,33,9.53,52.1,62.7,16.2,124,27,56,94,61,31,62,33,93,37.4,77,35,88,86,57,16.6,91.2,100,26.9,37.91,62.95,9.66,13.17,770.66,840.1
2-May,214,105,19,59,46,21,13,37,16,42,44.9,37,22,37,37,41,27.5,75.3,132,27.2,147,23,93,89,39,27,51,28,76,75.8,83,37,93,73,75,43,127,193,35.8,44.15,74.14,11.25,15.5,781.91,855.61
3-May,215,102,30,29,45,16,22,31,16,21,35.3,50,18,28,24,46,21,48,132,52.3,158,34,52,80,30,42,46,30,40,80.4,115,37,70,57,90,32.4,85.4,212,68.9,40.35,71.58,10.28,14.97,792.19,870.58
4-May,216,74,24,19,27,13,18,27,23,18,27.5,86,27,24,71,50,13.1,26.2,149,62,132,28,39,45,23,46,44,39,36,63.8,171,66,61,121,115,21.1,48.4,224,82.2,40.99,73.97,10.45,15.47,802.64,886.05
5-May,217,34,29,18,21,11,16,25,23,15,19.5,56,20,21,132,46,12,32.1,99.1,50.3,73,37,42,37,20,41,40,45,31,44.4,96,51,58,173,120,21.2,50.7,161,72.9,35.79,63.91,9.12,13.36,811.76,899.41
6-May,218,18,35,16,27,10,16,22,23,19,39.1,39,13,18,34,27,11.3,51.2,51.6,55.8,48,58,35,48,21,39,37,48,38,60.2,67,27,52,67,71,32.6,102,107,87,27.68,54.99,7.06,11.5,818.82,910.91
7-May,219,17,30,15,21,10,15,23,20,45,20.4,32,11,15,20,25,9.92,37.5,32.6,65.3,48,73,33,49,21,30,41,44,89,33.1,63,19,47,48,72,39.2,72.6,86.7,98,24.46,52.98,6.23,11.08,825.05,921.99
