Date,Jday,RB WY01,RB WY02,RB WY03,RB WY04,RB WY05,RB WY06,RB WY07,RB WY08,RB WY09,RB WY10,RB WY11,RB WY12,RB WY13,RB WY14,RB WY15,RB WY16,RB WY17,RB WY18,RB WY19,WB WY01,WB WY02,WB WY03,WB WY04,WB WY05,WB WY06,WB WY07,WB WY08,WB WY09,WB WY10,WB WY11,WB WY12,WB WY13,WB WY14,WB WY15,WB WY16,WB WY17,WB WY18,WB WY19
27-May,239,1.554768,2.217456,2.5488,4.07808,1.580256,3.56832,1.554768,1.65672,1.580256,1.070496,15.54768,1.40184,11.72448,3.05856,0.866592,1.5088896,3.95064,1.5598656,6.270048,3.346116923,5.228307692,3.973513846,6.273969231,3.136984615,5.019175385,2.927852308,3.764381538,2.049496615,1.568492308,20.91323077,1.777624615,16.73058462,5.228307692,1.568492308,2.195889231,5.562919385,3.785294769,9.51552
28-May,240,2.370384,1.9116,2.03904,4.33296,1.707696,3.05856,2.446848,1.350864,3.8232,0.994032,12.99888,1.223424,6.11712,3.05856,1.045008,1.2973392,2.625264,1.3483152,6.958224,4.182646154,4.810043077,3.136984615,5.646572308,3.136984615,4.182646154,4.810043077,2.927852308,4.182646154,1.443012923,18.82190769,1.652145231,12.33880615,5.228307692,2.509587692,1.980482954,4.098993231,3.241550769,9.222734769
29-May,241,2.395872,1.733184,2.80368,3.31344,1.580256,2.472336,1.52928,1.197936,11.4696,0.968544,8.9208,2.29392,8.66592,2.5488,1.40184,1.4171328,2.982096,1.2132288,6.193584,3.973513846,4.810043077,4.182646154,4.600910769,2.71872,3.555249231,2.927852308,2.509587692,13.80273231,1.380273231,15.47579077,2.300455385,16.31232,3.973513846,2.927852308,2.342281846,5.228307692,2.927852308,7.737895385
30-May,242,2.370384,2.03904,3.8232,2.370384,1.376352,2.242944,1.2744,1.070496,6.11712,0.943056,9.68544,2.140992,4.84272,2.013552,2.217456,1.5216336,6.62688,1.057752,4.180032,4.810043077,5.228307692,5.646572308,3.764381538,2.509587692,3.136984615,2.300455385,2.300455385,6.692233846,1.317533538,11.08401231,2.509587692,8.992689231,3.346116923,3.346116923,2.509587692,8.867209846,2.509587692,5.960270769
31-May,243,6.88176,4.33296,2.497824,1.9116,2.80368,2.115504,1.2744,3.8232,3.56832,0.866592,4.84272,1.427328,3.05856,1.707696,11.4696,1.1571552,9.659952,0.9532512,3.236976,10.87488,9.201821538,4.182646154,3.346116923,2.927852308,3.136984615,2.091323077,5.855704615,4.182646154,1.212967385,6.064836923,1.756711385,5.43744,2.927852308,12.12967385,1.928199877,10.79122708,2.154062769,4.914609231
1-Jun,244,5.86224,3.31344,3.05856,4.07808,2.319408,1.962576,5.35248,3.31344,2.523312,1.427328,3.56832,1.172448,2.370384,1.427328,18.86112,1.0399104,5.403456,0.8946288,2.67624,10.45661538,5.855704615,4.810043077,6.064836923,2.71872,2.71872,5.43744,5.019175385,3.346116923,1.986756923,5.228307692,1.275707077,4.182646154,2.509587692,19.44930462,1.639597292,6.566754462,1.911469292,4.224472615
2-Jun,245,8.15616,2.064528,3.05856,15.54768,1.631232,1.707696,2.497824,3.05856,2.03904,1.172448,3.05856,1.886112,9.43056,1.172448,10.45008,0.9659952,3.517344,0.8462016,3.874176,14.63926154,3.555249231,4.810043077,21.12236308,2.300455385,2.300455385,2.927852308,5.019175385,2.71872,1.254793846,5.019175385,1.380273231,11.08401231,2.300455385,9.620086154,1.390729846,5.081915077,1.752528738,6.085750154
3-Jun,246,6.11712,1.733184,1.962576,5.0976,1.325376,3.31344,2.013552,3.56832,1.733184,1.2744,2.80368,2.80368,4.07808,2.5488,4.84272,0.9124704,8.2836,0.7697376,3.848688,11.29314462,2.927852308,2.927852308,7.947027692,2.091323077,4.391778462,2.509587692,4.391778462,2.300455385,1.129314462,4.391778462,1.401186462,5.228307692,5.43744,4.391778462,1.269433108,12.67341785,1.589405538,4.768216615
4-Jun,247,7.13664,1.52928,1.580256,4.07808,1.095984,3.56832,3.05856,5.35248,1.52928,1.172448,2.242944,2.268432,2.80368,3.8232,2.80368,0.841104,5.428944,1.248912,2.80368,11.71140923,2.509587692,2.509587692,5.43744,1.882190769,4.391778462,3.973513846,6.692233846,2.091323077,1.024748308,3.346116923,1.171140923,2.509587692,6.901366154,2.509587692,1.164866954,7.591502769,2.593240615,3.638902154
5-Jun,248,8.66592,3.31344,1.758672,2.5488,0.943056,3.56832,5.35248,3.56832,1.325376,3.670272,2.03904,2.090016,2.16648,1.758672,2.5488,13.049856,3.644784,1.3024368,5.760288,11.71140923,5.228307692,2.927852308,4.182646154,1.714884923,3.973513846,6.483101538,3.555249231,1.882190769,6.566754462,2.927852308,1.275707077,2.007670154,3.136984615,2.300455385,13.82364554,5.374700308,2.948765538,6.106663385
