site,wyear,date,doy_wyear,cluster,q_mm,q_mm_cum,snow_dep_m,precip_mm,temp_avg_vwc,pyranometer_watt_m2,use_snow_mm_daily,use_total_mm_daily,temp_avg,temp_max,temp_min,wind_spd_avg
RB,2001,2001-04-18,200,2,3.31344,312.61032,2.7178,0,-3.3,231.7,0,0,-0.6,5,-6.7,4.1
WB,2001,2001-04-18,200,2,4.600910769,371.147106462,2.7178,0,-3.3,231.7,0,0,-0.6,5,-6.7,4.1
RB,2001,2001-04-19,201,2,2.5488,315.15912,2.7178,0,-2.1,189.7,0,0,1.1,6.7,-4.4,2.1
WB,2001,2001-04-19,201,2,3.973513846,375.120620308,2.7178,0,-2.1,189.7,0,0,1.1,6.7,-4.4,2.1
RB,2001,2001-04-20,202,2,2.80368,317.9628,2.7178,0,4.2,238.9,0,0,3.3,14.4,-7.8,1.2
WB,2001,2001-04-20,202,2,4.391778462,379.51239877,2.7178,0,4.2,238.9,0,0,3.3,14.4,-7.8,1.2
RB,2001,2001-04-21,203,2,8.15616,326.11896,2.6923999999999997,0.3,8.1,183.8,0,0,8.3,18.9,-2.8,2.2
WB,2001,2001-04-21,203,2,9.829218462,389.341617232,2.6923999999999997,0.3,8.1,183.8,0,0,8.3,18.9,-2.8,2.2
RB,2001,2001-04-22,204,1,41.29056,367.40952,2.4383999999999997,2.5,8.7,100.6,0,0,12.8,19.4,5.6,3.6
WB,2001,2001-04-22,204,1,37.43468308,426.776300312,2.4383999999999997,2.5,8.7,100.6,0,0,12.8,19.4,5.6,3.6
RB,2001,2001-04-23,205,2,32.11488,399.5244,2.3876,0,11.3,222.6,0,0,12.2,25,-0.6,1.6
WB,2001,2001-04-23,205,2,32.41550769,459.191808002,2.3876,0,11.3,222.6,0,0,12.2,25,-0.6,1.6
RB,2001,2001-04-24,206,1,52.2504,451.77479999999997,2.3367999999999998,1.8,8.9,82.2,0,0,15,26.1,3.9,3.8
WB,2001,2001-04-24,206,1,48.10043077,507.292238772,2.3367999999999998,1.8,8.9,82.2,0,0,15,26.1,3.9,3.8
RB,2001,2001-04-25,207,2,18.09648,469.87128,2.0574,0,1.3,180.3,0,0,5,11.1,-1.7,2.9
WB,2001,2001-04-25,207,2,20.28583385,527.578072622,2.0574,0,1.3,180.3,0,0,5,11.1,-1.7,2.9
RB,2001,2001-04-26,208,2,11.97936,481.85064,2.032,0,6.2,224.5,0,0,6.7,16.7,-3.9,1.5
WB,2001,2001-04-26,208,2,13.80273231,541.380804932,2.032,0,6.2,224.5,0,0,6.7,16.7,-3.9,1.5
RB,2001,2001-04-27,209,2,12.744,494.59463999999997,1.9558,0,6.1,204,0,0,9.4,16.7,2.2,3.2
WB,2001,2001-04-27,209,2,13.80273231,555.1835372419999,1.9558,0,6.1,204,0,0,9.4,16.7,2.2,3.2
RB,2001,2001-04-28,210,2,10.95984,505.55448,1.9304,0,-1.2,248.6,0,0,3.3,8.9,-2.8,4
WB,2001,2001-04-28,210,2,12.33880615,567.522343392,1.9304,0,-1.2,248.6,0,0,3.3,8.9,-2.8,4
RB,2001,2001-04-29,211,2,7.13664,512.69112,1.905,0,3.1,248,0,0,3.9,13.3,-5.6,1.8
WB,2001,2001-04-29,211,2,10.03835077,577.560694162,1.905,0,3.1,248,0,0,3.9,13.3,-5.6,1.8
RB,2001,2001-04-30,212,1,8.66592,521.35704,1.8796,0,10.1,174.2,0,0,10,22.2,-2.2,1
WB,2001,2001-04-30,212,1,11.71140923,589.272103392,1.8796,0,10.1,174.2,0,0,10,22.2,-2.2,1
RB,2001,2001-05-01,213,4,23.70384,545.06088,1.778,0,17.9,244.1,0,0,15.6,28.3,2.8,1.5
WB,2001,2001-05-01,213,4,25.93240615,615.204509542,1.778,0,17.9,244.1,0,0,15.6,28.3,2.8,1.5
RB,2001,2001-05-02,214,4,26.7624,571.82328,1.6256,0,18.8,209.9,0,0,16.7,29.4,3.3,1.6
WB,2001,2001-05-02,214,4,30.74244923,645.946958772,1.6256,0,18.8,209.9,0,0,16.7,29.4,3.3,1.6
RB,2001,2001-05-03,215,4,25.99776,597.82104,1.524,0,19.1,217.7,0,0,19.4,30,8.9,2.4
WB,2001,2001-05-03,215,4,33.04290462,678.989863392,1.524,0,19.1,217.7,0,0,19.4,30,8.9,2.4
RB,2001,2001-05-04,216,4,18.86112,616.68216,1.397,0,14.4,181.8,0,0,18.3,25,11.1,3.9
WB,2001,2001-05-04,216,4,27.60546462,706.595328012,1.397,0,14.4,181.8,0,0,18.3,25,11.1,3.9
RB,2001,2001-05-05,217,2,8.66592,625.34808,1.3461999999999998,0,3.6,130.9,0,0,5.6,11.1,-0.6,3.3
WB,2001,2001-05-05,217,2,15.26665846,721.861986472,1.3461999999999998,0,3.6,130.9,0,0,5.6,11.1,-0.6,3.3
RB,2001,2001-05-06,218,4,4.58784,629.93592,1.27,0,7.7,252.8,0,0,7.8,18.3,-2.8,1.2
WB,2001,2001-05-06,218,4,10.03835077,731.900337242,1.27,0,7.7,252.8,0,0,7.8,18.3,-2.8,1.2
RB,2001,2001-05-07,219,4,4.33296,634.26888,1.2191999999999998,0,11.2,257.4,0,0,10,22.2,-2.2,1.3
WB,2001,2001-05-07,219,4,10.03835077,741.93868801199994,1.2191999999999998,0,11.2,257.4,0,0,10,22.2,-2.2,1.3
RB,2001,2001-05-08,220,4,4.58784,638.85672,1.1683999999999999,0,14.9,258.2,0,0,12.2,26.1,-1.7,1.6
WB,2001,2001-05-08,220,4,11.08401231,753.022700322,1.1683999999999999,0,14.9,258.2,0,0,12.2,26.1,-1.7,1.6
RB,2001,2001-05-09,221,4,4.33296,643.18968,1.1176,0,13.2,172.6,0,0,12.8,22.8,2.2,1.4
WB,2001,2001-05-09,221,4,11.71140923,764.734109552,1.1176,0,13.2,172.6,0,0,12.8,22.8,2.2,1.4
RB,2001,2001-05-10,222,4,4.07808,647.26776,1.0668,0,15.1,252.5,0,0,13.9,25,2.2,1.9
WB,2001,2001-05-10,222,4,11.29314462,776.027254172,1.0668,0,15.1,252.5,0,0,13.9,25,2.2,1.9
RB,2001,2001-05-11,223,4,3.8232,651.09096,0.9144,0,18.3,249.5,0,0,16.1,28.3,3.3,1.1
WB,2001,2001-05-11,223,4,11.50227692,787.529531092,0.9144,0,18.3,249.5,0,0,16.1,28.3,3.3,1.1
RB,2001,2001-05-12,224,1,6.88176,657.97272,0.8635999999999999,18,11,63.8,0,0,13.3,20.6,6.1,2.3
WB,2001,2001-05-12,224,1,15.68492308,803.2144541719999,0.8635999999999999,18,11,63.8,0,0,13.3,20.6,6.1,2.3
RB,2001,2001-05-13,225,4,6.11712,664.08984,0.762,0,3.8,224,0,0,7.2,13.3,0.6,3.2
WB,2001,2001-05-13,225,4,12.54793846,815.762392632,0.762,0,3.8,224,0,0,7.2,13.3,0.6,3.2
RB,2001,2001-05-14,226,4,3.05856,667.1484,0.6604,0.3,6.9,208.1,0,0,7.8,16.1,-1.1,2.7
WB,2001,2001-05-14,226,4,5.855704615,821.618097247,0.6604,0.3,6.9,208.1,0,0,7.8,16.1,-1.1,2.7
RB,2001,2001-05-15,227,1,2.370384,669.518784,0.6095999999999999,0,5.4,113.1,0,0,5.6,12.2,-1.1,3
WB,2001,2001-05-15,227,1,4.600910769,826.219008016,0.6095999999999999,0,5.4,113.1,0,0,5.6,12.2,-1.1,3
RB,2001,2001-05-16,228,1,2.064528,671.583312,0.5588,0,8.7,136.3,0,0,12.2,18.9,5.6,0.9
WB,2001,2001-05-16,228,1,4.391778462,830.610786478,0.5588,0,8.7,136.3,0,0,12.2,18.9,5.6,0.9
RB,2001,2001-05-17,229,4,1.9116,673.494912,0.508,0,9.8,183.8,0,0,11.7,20.6,2.8,1.1
WB,2001,2001-05-17,229,4,4.391778462,835.00256494,0.508,0,9.8,183.8,0,0,11.7,20.6,2.8,1.1
RB,2001,2001-05-18,230,1,1.78416,675.279072,0.4572,6.6,8.4,36.6,0,0,13.3,16.1,10,1.8
WB,2001,2001-05-18,230,1,3.973513846,838.976078786,0.4572,6.6,8.4,36.6,0,0,13.3,16.1,10,1.8
RB,2001,2001-05-19,231,1,2.370384,677.649456,0.4572,3.3,8.7,77.2,0,0,11.7,18.3,5,1.5
WB,2001,2001-05-19,231,1,5.228307692,844.204386478,0.4572,3.3,8.7,77.2,0,0,11.7,18.3,5,1.5
RB,2001,2001-05-20,232,4,1.835136,679.484592,0.4572,0.3,12.2,263.3,0,0,12.8,22.8,2.8,1.2
WB,2001,2001-05-20,232,4,4.182646154,848.387032632,0.4572,0.3,12.2,263.3,0,0,12.8,22.8,2.8,1.2
RB,2001,2001-05-21,233,4,1.503792,680.988384,0.254,0.8,13.5,270.7,0,0,15,23.3,6.1,2.5
WB,2001,2001-05-21,233,4,3.764381538,852.15141417,0.254,0.8,13.5,270.7,0,0,15,23.3,6.1,2.5
RB,2001,2001-05-22,234,1,1.350864,682.339248,0.2286,0,9.2,44.7,0,0,13.9,17.2,10,2
WB,2001,2001-05-22,234,1,3.346116923,855.497531093,0.2286,0,9.2,44.7,0,0,13.9,17.2,10,2
RB,2001,2001-05-23,235,1,1.299888,683.639136,0.15239999999999998,0,8.8,51.9,0,0,13.9,15.6,11.7,2.3
WB,2001,2001-05-23,235,1,3.136984615,858.634515708,0.15239999999999998,0,8.8,51.9,0,0,13.9,15.6,11.7,2.3
RB,2001,2001-05-24,236,4,1.197936,684.837072,0.1016,1.3,12.7,192.7,0,0,16.7,22.8,10,1.1
WB,2001,2001-05-24,236,4,2.71872,861.3532357079999,0.1016,1.3,12.7,192.7,0,0,16.7,22.8,10,1.1
RB,2001,2001-05-25,237,4,1.01952,685.856592,0.0254,0,13.1,194.5,0,0,16.1,23.9,8.3,2
WB,2001,2001-05-25,237,4,2.300455385,863.653691093,0.0254,0,13.1,194.5,0,0,16.1,23.9,8.3,2
RB,2001,2001-05-26,238,4,0.943056,686.799648,0,0,12.8,140.6,0,0,16.1,22.2,10,1.6
WB,2001,2001-05-26,238,4,2.091323077,865.74501417,0,0,12.8,140.6,0,0,16.1,22.2,10,1.6
RB,2001,2001-05-27,239,1,1.554768,688.354416,0,10.9,9.6,29,0,0,14.4,16.1,12.2,1.2
WB,2001,2001-05-27,239,1,3.346116923,869.091131093,0,10.9,9.6,29,0,0,14.4,16.1,12.2,1.2
RB,2001,2001-05-28,240,1,2.370384,690.7248,0,15.7,9.3,54.9,0,0,12.8,16.7,8.9,1.4
WB,2001,2001-05-28,240,1,4.182646154,873.273777247,0,15.7,9.3,54.9,0,0,12.8,16.7,8.9,1.4
RB,2001,2001-05-29,241,4,2.395872,693.120672,0,0.3,7.6,163.8,0,0,12.8,18.3,6.7,2.3
WB,2001,2001-05-29,241,4,3.973513846,877.247291093,0,0.3,7.6,163.8,0,0,12.8,18.3,6.7,2.3
RB,2001,2001-05-30,242,1,2.370384,695.491056,0.0254,0,0.3,90.7,0,0,5,8.3,1.7,2.8
WB,2001,2001-05-30,242,1,4.8100430769999996,882.05733417,0.0254,0,0.3,90.7,0,0,5,8.3,1.7,2.8
RB,2001,2001-05-31,243,1,6.88176,702.372816,0.15239999999999998,0,2.3,77.1,0,0,7.2,12.2,2.2,3
WB,2001,2001-05-31,243,1,10.87488,892.93221417,0.15239999999999998,0,2.3,77.1,0,0,7.2,12.2,2.2,3
RB,2001,2001-06-01,244,4,5.86224,708.235056,0.07619999999999999,0,10.5,259.6,0,0,10.6,21.1,-0.6,2
WB,2001,2001-06-01,244,4,10.45661538,903.38882955,0.07619999999999999,0,10.5,259.6,0,0,10.6,21.1,-0.6,2
RB,2002,2002-03-29,180,2,1.197936,302.491584,1.9304,0,0.9,124.3,0,0,2.2,11.1,-7.2,1.9
WB,2002,2002-03-29,180,2,1.526665846,340.90866609299997,1.9304,0,0.9,124.3,0,0,2.2,11.1,-7.2,1.9
RB,2002,2002-03-30,181,2,2.5488,305.040384,1.905,0.3,3.9,213.2,0,0,7.2,12.8,1.7,4.3
WB,2002,2002-03-30,181,2,2.927852308,343.836518401,1.905,0.3,3.9,213.2,0,0,7.2,12.8,1.7,4.3
RB,2002,2002-03-31,182,2,3.31344,308.353824,1.8541999999999998,0,5,236.3,0,0,6.1,14.4,-2.2,1.6
WB,2002,2002-03-31,182,2,3.973513846,347.810032247,1.8541999999999998,0,5,236.3,0,0,6.1,14.4,-2.2,1.6
RB,2002,2002-04-01,183,2,4.84272,313.196544,1.9304,13.7,-0,8.6,0,0,4.4,6.1,2.8,1.7
WB,2002,2002-04-01,183,2,6.064836923,353.87486917,1.9304,13.7,-0,8.6,0,0,4.4,6.1,2.8,1.7
RB,2002,2002-04-02,184,2,3.56832,316.764864,1.9558,0.8,-2.3,70,0,0,4.4,7.8,0.6,3
WB,2002,2002-04-02,184,2,4.391778462,358.266647632,1.9558,0.8,-2.3,70,0,0,4.4,7.8,0.6,3
RB,2002,2002-04-03,185,2,4.58784,321.352704,1.8796,2,-0.3,22,0,0,5,10,0,2.8
WB,2002,2002-04-03,185,2,5.855704615,364.122352247,1.8796,2,-0.3,22,0,0,5,10,0,2.8
RB,2002,2002-04-04,186,2,3.56832,324.921024,1.9304,0,-6.3,67.7,0,0,0,2.8,-2.8,4
WB,2002,2002-04-04,186,2,4.600910769,368.723263016,1.9304,0,-6.3,67.7,0,0,0,2.8,-2.8,4
RB,2002,2002-04-05,187,2,2.80368,327.724704,1.9304,0,-5.4,127,0,0,-1.7,3.3,-6.7,1.4
WB,2002,2002-04-05,187,2,3.346116923,372.069379939,1.9304,0,-5.4,127,0,0,-1.7,3.3,-6.7,1.4
RB,2002,2002-04-06,188,2,2.16648,329.891184,1.905,0,-7.7,220.6,0,0,-3.3,0,-7.2,2.9
WB,2002,2002-04-06,188,2,2.927852308,374.997232247,1.905,0,-7.7,220.6,0,0,-3.3,0,-7.2,2.9
RB,2002,2002-04-07,189,2,1.809648,331.700832,1.905,0,-4.6,212.6,0,0,-2.2,5,-10,1
WB,2002,2002-04-07,189,2,2.71872,377.715952247,1.905,0,-4.6,212.6,0,0,-2.2,5,-10,1
RB,2002,2002-04-08,190,2,1.78416,333.484992,1.905,1.8,2.3,71,0,0,5.6,8.9,1.7,2.1
WB,2002,2002-04-08,190,2,2.509587692,380.225539939,1.905,1.8,2.3,71,0,0,5.6,8.9,1.7,2.1
RB,2002,2002-04-09,191,1,6.62688,340.111872,1.8034,6.6,8.1,46.8,0,0,10,15.6,3.9,1.7
WB,2002,2002-04-09,191,1,7.528763077,387.754303016,1.8034,6.6,8.1,46.8,0,0,10,15.6,3.9,1.7
RB,2002,2002-04-10,192,2,12.23424,352.346112,1.7271999999999998,0,0.2,126.3,0,0,3.9,9.4,-1.7,3.9
WB,2002,2002-04-10,192,2,14.01186462,401.766167636,1.7271999999999998,0,0.2,126.3,0,0,3.9,9.4,-1.7,3.9
RB,2002,2002-04-11,193,2,5.35248,357.698592,1.7271999999999998,0,4.3,224.8,0,0,5.6,15,-3.9,2.1
WB,2002,2002-04-11,193,2,8.15616,409.922327636,1.7271999999999998,0,4.3,224.8,0,0,5.6,15,-3.9,2.1
RB,2002,2002-04-12,194,4,10.95984,368.658432,1.7018,0,9.6,242.5,0,0,10.6,21.1,0,4.3
WB,2002,2002-04-12,194,4,12.75707077,422.679398406,1.7018,0,9.6,242.5,0,0,10.6,21.1,0,4.3
RB,2002,2002-04-13,195,1,37.21248,405.870912,1.5748,17.5,8.6,40.4,0,0,12.8,15,10.6,2.8
WB,2002,2002-04-13,195,1,35.97075692,458.650155326,1.5748,17.5,8.6,40.4,0,0,12.8,15,10.6,2.8
RB,2002,2002-04-14,196,1,46.38816,452.259072,1.4731999999999998,4.8,8.1,147,0,0,13.3,16.7,9.4,2
WB,2002,2002-04-14,196,1,44.12691692,502.777072246,1.4731999999999998,4.8,8.1,147,0,0,13.3,16.7,9.4,2
RB,2002,2002-04-15,197,1,36.70272,488.961792,1.3716,10.9,9.7,115.8,0,0,14.4,20.6,8.3,1.3
WB,2002,2002-04-15,197,1,37.01641846,539.79349070599994,1.3716,10.9,9.7,115.8,0,0,14.4,20.6,8.3,1.3
RB,2002,2002-04-16,198,4,36.70272,525.664512,1.1683999999999999,0.3,16.3,227.3,0,0,18.3,30,6.7,1.9
WB,2002,2002-04-16,198,4,38.68947692,578.482967626,1.1683999999999999,0.3,16.3,227.3,0,0,18.3,30,6.7,1.9
RB,2002,2002-04-17,199,4,32.11488,557.779392,1.016,0,18.7,213.4,0,0,21.7,31.1,12.2,1.9
WB,2002,2002-04-17,199,4,38.89860923,617.381576856,1.016,0,18.7,213.4,0,0,21.7,31.1,12.2,1.9
RB,2002,2002-04-18,200,4,22.17456,579.953952,0.889,3.6,16,215.8,0,0,18.3,26.1,10,1.6
WB,2002,2002-04-18,200,4,35.97075692,653.352333776,0.889,3.6,16,215.8,0,0,18.3,26.1,10,1.6
RB,2002,2002-04-19,201,4,12.48912,592.443072,0.7111999999999999,0,17.7,185.5,0,0,18.9,28.9,8.3,3.3
WB,2002,2002-04-19,201,4,24.25934769,677.6116814659999,0.7111999999999999,0,17.7,185.5,0,0,18.9,28.9,8.3,3.3
RB,2002,2002-04-20,202,4,6.88176,599.324832,0.6604,0,2.3,269.1,0,0,7.8,13.9,1.7,5
WB,2002,2002-04-20,202,4,15.26665846,692.878339926,0.6604,0,2.3,269.1,0,0,7.8,13.9,1.7,5
RB,2002,2002-04-21,203,4,4.07808,603.402912,0.6095999999999999,0,-3.8,264.5,0,0,0,4.4,-4.4,3.8
WB,2002,2002-04-21,203,4,7.947027692,700.825367618,0.6095999999999999,0,-3.8,264.5,0,0,0,4.4,-4.4,3.8
RB,2002,2002-04-22,204,1,3.31344,606.716352,0.6095999999999999,5.1,-3.9,102.1,0,0,-1.1,3.9,-6.7,0.3
WB,2002,2002-04-22,204,1,5.228307692,706.05367531,0.6095999999999999,5.1,-3.9,102.1,0,0,-1.1,3.9,-6.7,0.3
RB,2002,2002-04-23,205,1,3.05856,609.774912,0.762,0.8,-2.3,104.2,0,0,3.3,6.7,0,1.7
WB,2002,2002-04-23,205,1,4.391778462,710.445453772,0.762,0.8,-2.3,104.2,0,0,3.3,6.7,0,1.7
RB,2002,2002-04-24,206,4,2.80368,612.578592,0.6858,0,2.8,269.2,0,0,5.6,13.3,-2.2,0.9
WB,2002,2002-04-24,206,4,3.973513846,714.418967618,0.6858,0,2.8,269.2,0,0,5.6,13.3,-2.2,0.9
RB,2002,2002-04-25,207,1,3.05856,615.637152,0.6858,6.9,2.8,123.3,0,0,5,13.3,-3.3,2.9
WB,2002,2002-04-25,207,1,4.182646154,718.601613772,0.6858,6.9,2.8,123.3,0,0,5,13.3,-3.3,2.9
RB,2002,2002-04-26,208,1,3.05856,618.695712,0.762,0.3,-2.8,48.3,0,0,3.3,7.8,-1.1,2.9
WB,2002,2002-04-26,208,1,3.973513846,722.575127618,0.762,0.3,-2.8,48.3,0,0,3.3,7.8,-1.1,2.9
RB,2002,2002-04-27,209,4,2.42136,621.117072,0.762,0,-0.7,145.8,0,0,2.8,9.4,-3.9,2.1
WB,2002,2002-04-27,209,4,3.346116923,725.921244541,0.762,0,-0.7,145.8,0,0,2.8,9.4,-3.9,2.1
RB,2002,2002-04-28,210,1,2.344896,623.461968,0.8382,15,-1.5,56.9,0,0,0.6,2.8,-1.7,0.6
WB,2002,2002-04-28,210,1,3.136984615,729.058229156,0.8382,15,-1.5,56.9,0,0,0.6,2.8,-1.7,0.6
RB,2002,2002-04-29,211,1,3.8232,627.285168,0.9144,7.4,-1.1,43.3,0,0,2.2,3.9,0,1.8
WB,2002,2002-04-29,211,1,4.600910769,733.659139925,0.9144,7.4,-1.1,43.3,0,0,2.2,3.9,0,1.8
RB,2002,2002-04-30,212,1,4.07808,631.363248,0.8382,1.3,-0.5,74,0,0,5.6,10.6,0.6,2.2
WB,2002,2002-04-30,212,1,4.600910769,738.260050694,0.8382,1.3,-0.5,74,0,0,5.6,10.6,0.6,2.2
RB,2002,2002-05-01,213,1,5.60736,636.970608,0.9652,1.5,0.8,87.8,0,0,5,10,-0.6,2.2
WB,2002,2002-05-01,213,1,5.646572308,743.906623002,0.9652,1.5,0.8,87.8,0,0,5,10,-0.6,2.2
RB,2002,2002-05-02,214,1,4.84272,641.813328,1.0413999999999999,9.4,2,58.6,0,0,2.8,7.2,-1.7,1.9
WB,2002,2002-05-02,214,1,4.8100430769999996,748.716666079,1.0413999999999999,9.4,2,58.6,0,0,2.8,7.2,-1.7,1.9
RB,2002,2002-05-03,215,1,7.6464,649.459728,1.0922,4.6,0.5,67.1,0,0,5.6,10,1.1,3.6
WB,2002,2002-05-03,215,1,7.110498462,755.827164541,1.0922,4.6,0.5,67.1,0,0,5.6,10,1.1,3.6
RB,2002,2002-05-04,216,4,6.11712,655.576848,1.016,0,5.5,318.3,0,0,8.3,16.7,0,2.5
WB,2002,2002-05-04,216,4,5.855704615,761.682869156,1.016,0,5.5,318.3,0,0,8.3,16.7,0,2.5
RB,2002,2002-05-05,217,4,7.39152,662.9683679999999,0.9144,0,9.1,292.8,0,0,9.4,20.6,-2.2,1.6
WB,2002,2002-05-05,217,4,7.737895385,769.4207645409999,0.9144,0,9.1,292.8,0,0,9.4,20.6,-2.2,1.6
RB,2002,2002-05-06,218,4,8.9208,671.889168,0.8635999999999999,0,14.6,237.7,0,0,14.4,25,3.3,3.5
WB,2002,2002-05-06,218,4,12.12967385,781.550438391,0.8635999999999999,0,14.6,237.7,0,0,14.4,25,3.3,3.5
RB,2002,2002-05-07,219,1,7.6464,679.535568,0.7111999999999999,1.8,11.9,99.3,0,0,14.4,21.7,6.7,4.3
WB,2002,2002-05-07,219,1,15.26665846,796.817096851,0.7111999999999999,1.8,11.9,99.3,0,0,14.4,21.7,6.7,4.3
RB,2002,2002-05-08,220,4,5.60736,685.142928,0.6858,0,4.6,295.6,0,0,10,15,4.4,2.5
WB,2002,2002-05-08,220,4,12.12967385,808.946770701,0.6858,0,4.6,295.6,0,0,10,15,4.4,2.5
RB,2002,2002-05-09,221,1,3.56832,688.711248,0.6858,1,7.4,112.7,0,0,8.9,12.8,5,3.7
WB,2002,2002-05-09,221,1,6.273969231,815.220739932,0.6858,1,7.4,112.7,0,0,8.9,12.8,5,3.7
RB,2002,2002-05-10,222,4,3.56832,692.279568,0.5841999999999999,0,8.7,311.3,0,0,13.9,19.4,8.3,4.6
