site,wyear,date,doy_wyear,cluster,q_mm,q_mm_cum,snow_dep_m,precip_mm,temp_avg_vwc,pyranometer_watt_m2,use_snow_mm_daily,use_total_mm_daily,temp_avg,temp_max,temp_min,wind_spd_avg
RB,2001,2001-03-29,180,2,0.586224,267.292656,3.3528,0,-3.9,141.4,0,0,-3.9,4.4,-12.2,0.9
WB,2001,2001-03-29,180,2,0.669223385,315.015995077,3.3528,0,-3.9,141.4,0,0,-3.9,4.4,-12.2,0.9
RB,2001,2001-03-30,181,2,0.586224,267.87888,3.302,0,-3.5,9.8,0,0,-1.1,0.6,-2.8,1.7
WB,2001,2001-03-30,181,2,0.690136615,315.706131692,3.302,0,-3.5,9.8,0,0,-1.1,0.6,-2.8,1.7
RB,2001,2001-03-31,182,2,0.586224,268.465104,3.3274,0.8,-3.3,17.1,0,0,0.6,2.2,-1.1,1.7
WB,2001,2001-03-31,182,2,0.690136615,316.396268307,3.3274,0.8,-3.3,17.1,0,0,0.6,2.2,-1.1,1.7
RB,2001,2001-04-01,183,2,0.586224,269.051328,3.2765999999999997,0,-3.5,17.9,0,0,1.1,3.3,-1.1,1.3
WB,2001,2001-04-01,183,2,0.669223385,317.06549169199997,3.2765999999999997,0,-3.5,17.9,0,0,1.1,3.3,-1.1,1.3
RB,2001,2001-04-02,184,2,0.586224,269.63755199999997,3.2003999999999997,0,-3.5,164.2,0,0,0,3.9,-3.9,2.6
WB,2001,2001-04-02,184,2,0.669223385,317.734715077,3.2003999999999997,0,-3.5,164.2,0,0,0,3.9,-3.9,2.6
RB,2001,2001-04-03,185,2,0.586224,270.223776,3.2003999999999997,0,-3.7,108.7,0,0,-0.6,3.9,-5.6,1.6
WB,2001,2001-04-03,185,2,0.669223385,318.403938462,3.2003999999999997,0,-3.7,108.7,0,0,-0.6,3.9,-5.6,1.6
RB,2001,2001-04-04,186,2,0.713664,270.93744,3.175,0,0.6,232.6,0,0,0.6,8.3,-7.8,1.9
WB,2001,2001-04-04,186,2,0.815616,319.219554462,3.175,0,0.6,232.6,0,0,0.6,8.3,-7.8,1.9
RB,2001,2001-04-05,187,2,0.943056,271.880496,3.1242,0,1.9,236.3,0,0,0.6,8.9,-8.3,1.5
WB,2001,2001-04-05,187,2,1.066574769,320.286129231,3.1242,0,1.9,236.3,0,0,0.6,8.9,-8.3,1.5
RB,2001,2001-04-06,188,2,0.943056,272.823552,3.175,1.8,0.8,45,0,0,1.1,7.2,-5.6,0.6
WB,2001,2001-04-06,188,2,1.045661538,321.331790769,3.175,1.8,0.8,45,0,0,1.1,7.2,-5.6,0.6
RB,2001,2001-04-07,189,2,1.070496,273.894048,3.0987999999999998,0,2.1,179.1,0,0,4.4,9.4,-0.6,1.5
WB,2001,2001-04-07,189,2,1.233880615,322.565671384,3.0987999999999998,0,2.1,179.1,0,0,4.4,9.4,-0.6,1.5
RB,2001,2001-04-08,190,2,1.2744,275.168448,3.1242,5.1,-1.2,23.2,0,0,2.8,5,0,3.4
WB,2001,2001-04-08,190,2,1.422099692,323.987771076,3.1242,5.1,-1.2,23.2,0,0,2.8,5,0,3.4
RB,2001,2001-04-09,191,2,1.682208,276.850656,3.048,0,1.8,109.8,0,0,5,8.3,1.1,1.8
WB,2001,2001-04-09,191,2,1.986756923,325.974527999,3.048,0,1.8,109.8,0,0,5,8.3,1.1,1.8
RB,2001,2001-04-10,192,2,2.370384,279.22104,3.048,0,3.1,225.2,0,0,3.9,10.6,-2.8,1.2
WB,2001,2001-04-10,192,2,2.927852308,328.902380307,3.048,0,3.1,225.2,0,0,3.9,10.6,-2.8,1.2
RB,2001,2001-04-11,193,2,2.5488,281.76984,2.9718,0,4.1,105.1,0,0,3.3,10.6,-3.9,0.7
WB,2001,2001-04-11,193,2,3.136984615,332.039364922,2.9718,0,4.1,105.1,0,0,3.3,10.6,-3.9,0.7
RB,2001,2001-04-12,194,2,4.07808,285.84792,2.9463999999999997,0,1.4,13.2,0,0,3.9,6.1,1.7,3.1
WB,2001,2001-04-12,194,2,4.8100430769999996,336.849407999,2.9463999999999997,0,1.4,13.2,0,0,3.9,6.1,1.7,3.1
RB,2001,2001-04-13,195,2,7.90128,293.7492,2.8194,10.7,2.8,44.6,0,0,6.1,10.6,1.1,3.5
WB,2001,2001-04-13,195,2,8.365292308,345.214700307,2.8194,10.7,2.8,44.6,0,0,6.1,10.6,1.1,3.5
RB,2001,2001-04-14,196,2,4.84272,298.59192,2.794,0,-0.9,240.7,0,0,2.2,7.2,-2.8,3.5
WB,2001,2001-04-14,196,2,6.273969231,351.488669538,2.794,0,-0.9,240.7,0,0,2.2,7.2,-2.8,3.5
RB,2001,2001-04-15,197,2,3.56832,302.16024,2.7432,0,1.1,234.2,0,0,1.1,8.3,-6.1,1.9
WB,2001,2001-04-15,197,2,5.019175385,356.507844923,2.7432,0,1.1,234.2,0,0,1.1,8.3,-6.1,1.9
RB,2001,2001-04-16,198,2,3.56832,305.72856,2.7432,0,0.7,237.7,0,0,0.6,8.3,-7.8,1.9
WB,2001,2001-04-16,198,2,5.019175385,361.527020308,2.7432,0,0.7,237.7,0,0,0.6,8.3,-7.8,1.9
RB,2001,2001-04-17,199,2,3.56832,309.29688,2.7178,0,0.7,203.1,0,0,2.2,9.4,-5,1.9
WB,2001,2001-04-17,199,2,5.019175385,366.546195693,2.7178,0,0.7,203.1,0,0,2.2,9.4,-5,1.9
