date,airtemp_c,windspeed_m_s,rh_per,pyranometer_watt_m2,precip
10/1/03 0:00,4.03875,1.1265,94.4,0,0
10/1/03 1:00,3.642,1.65525,87.55,0,0
10/1/03 2:00,3.8195,1.581,83.975,0,0.1
10/1/03 3:00,3.4325,0.89075,82.5,0,0
10/1/03 4:00,3.39475,0.90925,82.3,0,0
10/1/03 5:00,2.925,0.8615,94.425,0,0
10/1/03 6:00,2.92,1.088,97.275,18.3995,0
10/1/03 7:00,3.321,1.2135,92.45,54.3625,0
10/1/03 8:00,4.38325,0.82,88.075,113.7,0
10/1/03 9:00,5.05475,0.70025,84.95,126.25,0
10/1/03 10:00,5.2245,0.81825,83.725,112,0
10/1/03 11:00,4.95925,0.8925,82.375,124.975,0
10/1/03 12:00,5.3185,0.722,82.125,117.9,0
10/1/03 13:00,4.3635,0.91625,88.7,80.68,0
10/1/03 14:00,3.56925,1.239,97.625,155.075,0
10/1/03 15:00,6.15,0.86375,93.425,325.175,0
10/1/03 16:00,5.99375,0.4285,90.825,108.6875,0
10/1/03 17:00,3.39075,0.112,94.775,10.03,0
10/1/03 18:00,2.55525,0.04825,97.175,0,0
10/1/03 19:00,2.98725,0.48,98.125,0,0
10/1/03 20:00,3.089,0.3465,98.275,0,0
10/1/03 21:00,2.893,0.28075,97.95,0,0
10/1/03 22:00,2.85525,0.193,96.475,0,0
10/1/03 23:00,2.5995,0.11875,95.95,0,0
10/2/03 0:00,2.38025,0.45025,94.75,0,0
10/2/03 1:00,2.52825,1.20825,86.85,0,0
10/2/03 2:00,3.04225,1.207,86.5,0,0
10/2/03 3:00,2.89975,0.94775,93,0,0
10/2/03 4:00,3.10425,0.898,94.075,0,0
10/2/03 5:00,3.1795,0.7815,95.025,0,0
10/2/03 6:00,2.72025,1.0795,94.75,17.98,0
10/2/03 7:00,2.67525,1.03,94.875,51.0125,0
10/2/03 8:00,2.00475,0.79075,97.9,33.45,0
10/2/03 9:00,3.558,0.88325,97.475,300.2,0
