myRun,myDataSet,nodes,myTopo,rows,cols,normMeth,wghtMeth,niter,crsAlpha,finAlpha,nClusters,colRowRatio
1,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,3,1.3
2,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,3,1.4
3,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,3,1.3
4,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,3,1.5
5,bothSites,234,hexagonal,13,18,L2norm,noPCA,1500,0.05,0.01,3,1.4
6,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,4,1.3
7,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,4,1.4
8,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,4,1.3
9,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,4,1.5
10,bothSites,234,hexagonal,13,18,L2norm,noPCA,1500,0.05,0.01,4,1.4
11,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,5,1.3
12,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,5,1.4
13,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,5,1.3
14,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,5,1.5
15,bothSites,234,hexagonal,13,18,L2norm,noPCA,1500,0.05,0.01,5,1.4
