myRun,myDataSet,nodes,myTopo,rows,cols,normMeth,wghtMeth,niter,crsAlpha,finAlpha,nClusters,colRowRatio
1,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,3,1.3
2,bothSites,208,hexagonal,13,16,L2norm,noPCA,1500,0.05,0.01,3,1.2
3,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,3,1.5
4,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,3,1.4
5,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,3,1.3
6,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,3,1.5
7,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,3,1.3
8,bothSites,208,hexagonal,13,16,L2norm,noPCA,1500,0.05,0.01,3,1.2
9,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,3,1.5
10,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,3,1.4
11,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,3,1.3
12,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,3,1.5
13,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,4,1.3
14,bothSites,208,hexagonal,13,16,L2norm,noPCA,1500,0.05,0.01,4,1.2
15,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,4,1.5
16,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,4,1.4
17,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,4,1.3
18,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,4,1.5
19,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,4,1.3
20,bothSites,208,hexagonal,13,16,L2norm,noPCA,1500,0.05,0.01,4,1.2
21,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,4,1.5
22,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,4,1.4
23,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,4,1.3
24,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,4,1.5
25,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,5,1.3
26,bothSites,208,hexagonal,13,16,L2norm,noPCA,1500,0.05,0.01,5,1.2
27,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,5,1.5
28,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,5,1.4
29,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,5,1.3
30,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,5,1.5
31,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,5,1.3
32,bothSites,208,hexagonal,13,16,L2norm,noPCA,1500,0.05,0.01,5,1.2
33,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,5,1.5
34,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,5,1.4
35,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,5,1.3
36,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,5,1.5
