myRun,myDataSet,nodes,myTopo,rows,cols,normMeth,wghtMeth,niter,crsAlpha,finAlpha,nClusters,colRowRatio
1,bothSites,165,hexagonal,11,15,L2norm,noPCA,1000,0.05,0.01,2,1.4
2,bothSites,180,hexagonal,12,15,L2norm,noPCA,1000,0.05,0.01,2,1.3
3,bothSites,195,hexagonal,13,15,L2norm,noPCA,1000,0.05,0.01,2,1.2
4,bothSites,176,hexagonal,11,16,L2norm,noPCA,1000,0.05,0.01,2,1.5
5,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,2,1.3
6,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,2,1.5
7,bothSites,165,hexagonal,11,15,L2norm,noPCA,1000,0.05,0.01,3,1.4
8,bothSites,180,hexagonal,12,15,L2norm,noPCA,1000,0.05,0.01,3,1.3
9,bothSites,195,hexagonal,13,15,L2norm,noPCA,1000,0.05,0.01,3,1.2
10,bothSites,176,hexagonal,11,16,L2norm,noPCA,1000,0.05,0.01,3,1.5
11,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,3,1.3
12,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,3,1.5
13,bothSites,165,hexagonal,11,15,L2norm,noPCA,1000,0.05,0.01,4,1.4
14,bothSites,180,hexagonal,12,15,L2norm,noPCA,1000,0.05,0.01,4,1.3
15,bothSites,195,hexagonal,13,15,L2norm,noPCA,1000,0.05,0.01,4,1.2
16,bothSites,176,hexagonal,11,16,L2norm,noPCA,1000,0.05,0.01,4,1.5
17,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,4,1.3
18,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,4,1.5
19,bothSites,165,hexagonal,11,15,L2norm,noPCA,1000,0.05,0.01,5,1.4
20,bothSites,180,hexagonal,12,15,L2norm,noPCA,1000,0.05,0.01,5,1.3
21,bothSites,195,hexagonal,13,15,L2norm,noPCA,1000,0.05,0.01,5,1.2
22,bothSites,176,hexagonal,11,16,L2norm,noPCA,1000,0.05,0.01,5,1.5
23,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,5,1.3
24,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,5,1.5
