myRun,myDataSet,nodes,myTopo,rows,cols,normMeth,wghtMeth,niter,crsAlpha,finAlpha,nClusters,colRowRatio
1,bothSites,180,hexagonal,12,15,L2norm,noPCA,1500,0.05,0.01,3,1.3
2,bothSites,195,hexagonal,13,15,L2norm,noPCA,1500,0.05,0.01,3,1.2
3,bothSites,176,hexagonal,11,16,L2norm,noPCA,1500,0.05,0.01,3,1.5
4,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,3,1.3
5,bothSites,208,hexagonal,13,16,L2norm,noPCA,1500,0.05,0.01,3,1.2
6,bothSites,180,hexagonal,12,15,L2norm,noPCA,1500,0.05,0.01,3,1.3
7,bothSites,195,hexagonal,13,15,L2norm,noPCA,1500,0.05,0.01,3,1.2
8,bothSites,176,hexagonal,11,16,L2norm,noPCA,1500,0.05,0.01,3,1.5
9,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,3,1.3
10,bothSites,208,hexagonal,13,16,L2norm,noPCA,1500,0.05,0.01,3,1.2
11,bothSites,180,hexagonal,12,15,L2norm,noPCA,1500,0.05,0.01,4,1.3
12,bothSites,195,hexagonal,13,15,L2norm,noPCA,1500,0.05,0.01,4,1.2
13,bothSites,176,hexagonal,11,16,L2norm,noPCA,1500,0.05,0.01,4,1.5
14,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,4,1.3
15,bothSites,208,hexagonal,13,16,L2norm,noPCA,1500,0.05,0.01,4,1.2
16,bothSites,180,hexagonal,12,15,L2norm,noPCA,1500,0.05,0.01,4,1.3
17,bothSites,195,hexagonal,13,15,L2norm,noPCA,1500,0.05,0.01,4,1.2
18,bothSites,176,hexagonal,11,16,L2norm,noPCA,1500,0.05,0.01,4,1.5
19,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,4,1.3
20,bothSites,208,hexagonal,13,16,L2norm,noPCA,1500,0.05,0.01,4,1.2
21,bothSites,180,hexagonal,12,15,L2norm,noPCA,1500,0.05,0.01,5,1.3
22,bothSites,195,hexagonal,13,15,L2norm,noPCA,1500,0.05,0.01,5,1.2
23,bothSites,176,hexagonal,11,16,L2norm,noPCA,1500,0.05,0.01,5,1.5
24,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,5,1.3
25,bothSites,208,hexagonal,13,16,L2norm,noPCA,1500,0.05,0.01,5,1.2
26,bothSites,180,hexagonal,12,15,L2norm,noPCA,1500,0.05,0.01,5,1.3
27,bothSites,195,hexagonal,13,15,L2norm,noPCA,1500,0.05,0.01,5,1.2
28,bothSites,176,hexagonal,11,16,L2norm,noPCA,1500,0.05,0.01,5,1.5
29,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,5,1.3
30,bothSites,208,hexagonal,13,16,L2norm,noPCA,1500,0.05,0.01,5,1.2
